Country,Year,Miles_Equator,Political_Stability,School_Enrollment_F,Life_Expency,GDP_Per_Capita,None at all,2,3,4,5,6,7,8,9,A great deal,Don't know,No answer,Base mean,Freedom_Mean,Std Dev.,,Freedom
Ghana,2007,548.310363,0.006396186,38.1818886,59.234,2792.265433,18.3,14,20,12.5,12.4,6.5,4.9,3.1,2.9,4.3,0.8,0.2,1518,7.09,2.46,0.772,0.77665996
Guatemala,2007,1089.059499,-0.735238791,41.7966995,70.082,6474.796935,15.3,17,27,15,10.1,6.2,3,2.2,0.7,3.3,0.5,0,995,7.44,2.12,0.844,0.848241206
Hong Kong,2007,1545.353532,1.190912247,83.065918,82.3756098,45861.05169,6,7.3,15,17.3,21.6,16.9,6.9,3.8,1.5,2.6,0,1.2,1237,6.32,2.01,0.672,0.664031621
Hungary,2007,3254.212086,0.98567611,95.6179276,73.097561,20729.78393,5,4.9,17,14,13.9,16.8,12.3,10.2,2.9,3,0.2,0.2,1003,5.84,2.2,0.548,0.548
India,2007,1420.964196,-1.065184236,50.2382011,64.918,3911.434281,23.8,0,0,35,0,0,24.2,0,0,3.7,13.2,0.1,1734,6.73,2.54,0.588,0.676639816
Indonesia,2007,-54.459975,-1.417666912,62.8922806,67.717,8019.730683,23.1,9.8,16,13.9,9.4,13.4,2.3,1.3,0.3,3.2,3.9,3.1,1861,7.39,2.27,0.722,0.727822581
Iran,2007,2237.525652,-1.04084003,77.2405396,72.257,17712.53848,15.3,12,18,15.8,13.6,14.9,3.8,2.6,1.8,1.3,0,0.3,2658,7.06,2.12,0.747,0.744765703
Italy,2007,2889.16386,0.530733764,99.5777206,81.2829268,34602.89696,5.7,7,16,20.1,18.1,13.3,6.7,4.8,3.4,1.9,1.4,1.2,986,6.34,2.06,0.669,0.670340681
Jordan,2007,2110.376316,-0.762317538,86.8548965,72.763,9625.63906,35.2,11,14,9.7,7.9,9.2,3.9,1.2,1.4,4.9,0,1.4,1183,7.64,2.56,0.778,0.767258383
Korea,2007,2477.635233,0.423855454,96.3186722,78.6682927,29508.38151,7.1,9.9,24,19.8,11.4,12.3,7.8,3.8,2.1,1.9,0,0,1200,6.68,2.08,0.722,0.722
Malaysia,2007,290.523396,0.288379699,83.2793579,73.744,19188.36498,11.4,10,26,25.1,15.2,8.2,1.5,0.9,0.3,1.3,0,0,1201,7.31,1.71,0.877,0.877
Mali,2007,1212.377748,0.414196908,21.0428696,52.839,1730.833043,16.3,4.7,9,11.1,10.2,22.8,4.9,2.7,2,9.6,2.5,3.6,1433,6.12,2.72,0.513,0.507418398
Mexico,2007,1630.780569,-0.636888444,86.2486801,75.296,14547.64458,40.5,16,19,7.4,3.3,5.2,1,0.9,0.4,2.7,1.8,1.8,1504,8.38,2.08,0.862,0.862
Morocco,2007,2193.627438,-0.461343467,49.2116394,72.403,6105.844238,4.2,5.7,9.2,12.8,12,20.1,12.8,8.3,4.3,9.3,0,1.2,1185,5.3,2.4,0.439,0.433794466
Netherlands,2007,3597.151677,0.902736187,117.46553,79.697561,44556.92115,4.5,7.5,21,27.6,13.3,15.6,4.3,2.6,1.5,1.1,0.6,0,1043,6.68,1.78,0.739,0.743460765
New Zealand,2007,-2822.13843,1.254492283,121.047371,80.0487805,30681.24454,22,17,24,13.8,7.1,6.6,2.1,1.4,0.2,0.7,2.4,2.9,903,7.91,1.83,0.839,0.834825871
Norway,2007,4172.569656,1.252705693,113.719719,80.3439024,55364.21942,12,18,33,18.9,7.6,7.9,1.1,1.1,0.2,0.3,0.3,0.3,1019,7.71,1.57,0.895,0.895
Peru,2007,-634.107723,-0.841553807,85.1167603,73.222,8948.761452,20.9,8.6,16,15.8,12.4,13.6,4.8,3.3,1.2,1.6,0,1.9,1472,7.13,2.23,0.737,0.723258096
Poland,2007,3582.441222,0.354031831,97.9792175,75.1439024,19239.92847,8.9,9.7,20,15.3,11.3,16.5,4.4,3.6,2.3,4.1,3.9,0,961,6.57,2.28,0.652,0.678459938
Romania,2007,3170.078109,0.148430079,84.2956696,72.1634146,16631.85819,24.4,16,18,11.7,7.1,8.8,2.6,3.6,1.5,1.2,5,0.6,1676,7.64,2.22,0.772,0.807531381
Russia,2007,4245.15669,-0.908794343,82.058342,66.727561,19389.94141,23.7,9.4,15,11.2,8.4,14.5,4.4,4.3,1.7,4.3,2.7,0.2,1974,7.03,2.56,0.677,0.694358974
Rwanda,2007,-133.879182,-0.684061944,17.4732094,57.083,1275.092744,8.4,8.2,15,17.7,20.2,17.9,5,2.5,3,1.3,0.9,0.1,1489,6.52,2.01,0.695,0.700604839
Serbia,2007,3037.139949,-0.53756845,90.62146,73.3853659,12533.96547,6.7,7.5,18,19.5,16.1,14.3,6.2,5.8,1.6,2,0.7,1.5,1193,6.45,2.06,0.678,0.672619048
Slovenia,2007,3184.435629,1.085729003,96.8665085,78.0865854,27537.75846,22.9,14,19,13.4,9.9,12,2.7,2.1,1.1,1.8,1.3,0.4,1020,7.49,2.17,0.792,0.799192735
South Africa,2007,-2108.60426,0.047030076,93.6793137,53.795,12565.29277,25.8,15,17,13.1,9.3,8.2,3.5,2.4,1.8,1.7,1.7,0,2938,7.61,2.23,0.802,0.815869786
Spain,2007,2791.993023,-0.150648654,121.06974,80.8219512,32092.36482,8.7,5.8,19,25.7,16.5,13.4,2.8,3,0.6,0.2,2.5,0.6,1148,6.88,1.73,0.757,0.77166157
Sweden,2007,4148.843109,1.293933988,103.323479,80.7487805,40279.4616,16,18,29,18.4,8.6,5.5,1.2,1.4,0.3,0.5,0,0.4,999,7.81,1.65,0.9,0.896414343
Switzerland,2007,3230.454972,1.268117428,93.1368027,81.4902439,53354.00464,18,11,26,20.4,10.5,10.3,1.3,1.7,0.3,0,0.1,0,1239,7.58,1.73,0.859,0.85985986
Thailand,2007,1095.032208,-1.130200148,76.4392471,72.499,12188.34839,6.6,9.3,29,20.7,15.1,10.3,2.6,2.5,1.2,2.6,0,0.5,1526,6.92,1.92,0.807,0.802985075
Ukraine,2007,3338.180877,-0.036877617,96.1763687,68.077561,8093.555664,6.6,8.8,14,15.2,13.1,16.2,8.3,6.1,6.6,3.3,1.7,0.2,981,6.02,2.37,0.577,0.585786802
